,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
1329,Китай,Самолетный тип,,3,,4100,Шасси,Шасси,ДВС,2.6,130,В производстве,North Navigation Control Technology Co,,,,,
1330,Китай,Самолетный тип,100,4,100,4100,Пусковая установка,Парашютная система,ДВС,4,180,В производстве,Nanjing Unmanned Aerial Vehicle Co,20,,,,
1331,Китай,Самолетный тип,25,2,40,3100,Пусковая установка,Парашютная система,Электрический,2.8,80,В производстве,Nanjing Unmanned Aerial Vehicle Co,3.5,,,,
1332,Китай,Самолетный тип,35,2,20,4100,Пусковая установка,Парашютная система,ДВС,3,150,В производстве,Nanjing Unmanned Aerial Vehicle Co,3,,,,
1333,Китай,Самолетный тип,,,15,4100,Шасси,Шасси,ДВС,2.8,155,В производстве,Университет Наньчан Ханьконг,,,,,
1334,Китай,Коптерный тип,,0.67,2.5,1000,Вертикальный,Вертикальный,Электрический,,45,В производстве,Университет Наньчан Ханьконг,,,,,
1335,Китай,Самолетный тип,,,100,9100,Пусковая установка,Парашютная система,Газотурбинный,,650,Снято с производства,NAV Technology Co,,,,,
1336,Китай,Самолетный тип,,4,140,7100,Пусковая установка,Парашютная система,Газотурбинный,,,Снято с производства,NAV Technology Co,,,,,
1337,Китай,Коптерный тип,,0.67,2,500,Вертикальный,Вертикальный,Электрический,,54,В производстве,Nanning Hui-Shi Science and Technology Co,,,,,
1338,Китай,Самолетный тип,1.2,,20,300,С руки,"В сетку, На фюзеляж, Парашютная система",Электрический,0.98,75,В производстве,Nanning Hui-Shi Science and Technology Co,,,,,
1339,Китай,Самолетный тип,,,100,3500,Шасси,Шасси,ДВС,,135,В производстве,Mei-Lian Aviation Technology Co,,,,,
1340,Китай,Вертолетный тип,22,0.5,2.5,150,Вертикальный,Вертикальный,ДВС,,20,Снято с производства,Minghe Crop Dusting,,,,2.05,
1341,Китай,Самолетный тип,35,6,30,3600,Пусковая установка,Парашютная система,ДВС,3.8,140,В производстве,Microfly Engineering Technology Co,,,,,
1342,Китай,Самолетный тип,,1.5,20,4000,С руки,На фюзеляж,Электрический,,75,В производстве,Meiya Pico Information Technology Co,,,,,
1343,Китай,Самолетный тип,,1,20,4100,Вертикальный,Вертикальный,ДВС,,110,В производстве,Университет Наньчан Ханьконг,,,,,
1344,Китай,Коптерный тип,3,,0.5,100,Вертикальный,Вертикальный,Электрический,,35,В производстве,Meiya Pico Information Technology Co,,,,,
1345,Китай,Самолетный тип,5,,20,4100,С руки,На фюзеляж,Электрический,1.7,110,В производстве,Meiya Pico Information Technologies Co,,,,,
1346,Китай,Коптерный тип,13.5,0.58,5,2100,Вертикальный,Вертикальный,Электрический,,65,В производстве,DJI,,,,,
1347,Китай,Вертолетный тип,380,5,40,2100,Вертикальный,Вертикальный,ДВС,,130,В производстве,Пекинский университет аэронавтики и астронавтики,,,,,
1348,Китай,Вертолетный тип,300,,40,1500,Вертикальный,Вертикальный,ДВС,,140,В производстве,Пекинский университет аэронавтики и астронавтики,,,,,
1349,Китай,Самолетный тип,2000,,2000,9100,Шасси,Шасси,Газотурбинный,18,800,В производстве,,,,,,
1350,Китай,Вертолетный тип,30,0.25,5,250,Вертикальный,Вертикальный,ДВС,,45,В производстве,Hanhe Aviation,,,,2.1,
1351,Китай,Вертолетный тип,35,0.5,10,250,Вертикальный,Вертикальный,ДВС,,50,В производстве,Hanhe Aviation,,,,2.1,
1352,Китай,Вертолетный тип,240,2,100,4100,Вертикальный,Вертикальный,ДВС,,130,В производстве,Hexiang General Aviation Technology Co,,,,,
1353,Китай,Самолетный тип,2.2,0.83,2,500,С руки,На фюзеляж,Электрический,1.1,80,В производстве,Long Technology Co,,,,,
1354,Китай,Самолетный тип,27,4,100,5100,Шасси,Шасси,ДВС,3.16,150,В производстве,Hanglong Kexun Electronics Technology Co,,,,,
1355,Китай,Самолетный тип,25,5,250,4100,"Пусковая установка, Шасси","Парашютная система, Шасси",ДВС,2.65,130,В производстве,Guo-Yao-Bo-Cheng Technology Co,,,,,
1356,Китай,Самолетный тип,8,,70,2100,Пусковая установка,Парашютная система,Электрический,,120,В производстве,Zhong-Hai-Da Satelite Navigation Technology Co,,,,,
1357,Китай,Вертолетный тип,1.2,,2.5,150,Вертикальный,Вертикальный,Электрический,,30,В производстве,Idea-Fly Science and Technology,,,,,
1358,Китай,Вертолетный тип,,,10,500,Вертикальный,Вертикальный,ДВС,,70,В производстве,JS Model,12,,,,
1359,Китай,Самолетный тип,34.5,4,100,4600,Вертикальный,Вертикальный,ДВС,3.2,120,В производстве,Hanglong Kexun Electronics Technology Co,,,,,
1360,Китай,Самолетный тип,,40,500,8000,Шасси,Шасси,ДВС,21,180,В производстве,Harbin Aircraft Industry,,,,,
1361,Китай,Вертолетный тип,36,,2,250,Вертикальный,Вертикальный,ДВС,,45,В производстве,Hawk-Hel Aviation Equipment Co,10,,,2.2,
1362,Китай,Вертолетный тип,24,0.67,2,250,Вертикальный,Вертикальный,ДВС,,40,В производстве,Hawk-Hel Aviation Equipment Co,5,,,1.8,
1363,Китай,Коптерный тип,,0.33,1,250,Вертикальный,Вертикальный,Электрический,,35,В производстве,Hawk-Hel Aviation Equipment Co,20,,,,
1364,Китай,Коптерный тип,25,0.17,1,150,Вертикальный,Вертикальный,Электрический,,35,В производстве,Hawk-Hel Aviation Equipment Co,10,,,,
1365,Индия,Коптерный тип,7,,10,700,Вертикальный,Вертикальный,Электрический,,40,В производстве,,,,,,
1366,Индия,Самолетный тип,120,0.67,250,10000,Пусковая установка,Парашютная система,Газотурбинный,,900,В производстве,Defeat Research and Development Organization,,,,,
1367,Индия,Коптерный тип,2.25,0.5,2.5,500,Вертикальный,Вертикальный,Электрический,,30,В производстве,Defense Research and Development Organization,,,,,
1368,Индия,Самолетный тип,1800,,100,5100,Шасси,Шасси,ДВС,,210,В производстве,Defense Research and Development Organization,,,,,
1369,Индия,Самолетный тип,2.5,,15,5000,С руки,На фюзеляж,Электрический,1.6,90,В производстве,Defense Research and Development Organization,,,,,
1370,"Израиль, Индия",Вертолетный тип,2200,6,150,5000,Вертикальный,Вертикальный,Газотурбинный,,180,В производстве,"Hindustan Aeronautics Limited, Israel Aerospace Industries",220,,,11.02,
1371,Индия,Самолетный тип,3,1,10,5000,С руки,На фюзеляж,Электрический,1.6,60,В производстве,National Aerospace Laboratories,,,,,
1372,Индия,Самолетный тип,1.5,,2,1000,С руки,На фюзеляж,Электрический,0.3,50,В производстве,"Aeronautical Development Establishment, National Aerospace Laboratories",,,,,
1373,Индия,Самолетный тип,1.25,0.67,2,300,С руки,На фюзеляж,Электрический,0.3,55,В производстве,"Aeronautical Development Establishment, National Aerospace Laboratories",,,,,
1374,Индия,Самолетный тип,,1.5,42,5100,Пусковая установка,Парашютная система,Электрический,,120,В производстве,CSIR-NAL,,,,,
1375,Индонезия,Самолетный тип,18,5,450,3000,Шасси,Шасси,ДВС,2.4,100,В производстве,Национальный институт аэронавтики и космоса,,,,,
1376,Индонезия,Самолетный тип,48,6,600,5100,Шасси,Шасси,ДВС,3.5,150,В производстве,Национальный институт аэронавтики и космоса,,,,,
1377,Индонезия,Самолетный тип,25,,500,4100,Шасси,Шасси,ДВС,3.2,120,В производстве,Национальный институт аэронавтики и космоса,,,,,
1378,Индонезия,Самолетный тип,8.5,,70,4500,С руки,На фюзеляж,ДВС,3,75,В производстве,Badan Penarapan dan Pengkajian Teknologi,,,,,
1379,Индонезия,Самолетный тип,27,6,10,4500,Шасси,Шасси,ДВС,3.4,110,В производстве,Badan Penarapan dan Pengkajian Teknologi,,,,,
1380,Индонезия,Самолетный тип,21.5,,42,3100,Шасси,Шасси,ДВС,3.2,120,В производстве,Rajawali,,,,,
1381,Индонезия,Вертолетный тип,150,,120,4200,Вертикальный,Вертикальный,ДВС,,145,В производстве,Rajawali,,,,3.5,
1382,Великобритания,Вертолетный тип,58,6,25,2100,Вертикальный,Вертикальный,Электрический,,160,В производстве,advanced UAV Technology,,,,3,
1383,Великобритания,Вертолетный тип,350,6,200,3500,Вертикальный,Вертикальный,Газотурбинный,,160,В производстве,advanced UAV Technology,,,,4.5,
1384,Великобритания,Самолетный тип,150,,100,7000,Шасси,Шасси,Газотурбинный,5.2,350,В производстве,BAE Systems,,,,,
1385,Великобритания,Самолетный тип,70,,50,4600,Шасси,Шасси,ДВС,5,150,В производстве,Barnard Microsystems,,,,,
1386,Великобритания,Самолетный тип,5,,5,1000,С руки,На фюзеляж,Электрический,1.5,75,В производстве,Blue Bear Systems,,,,,
1387,Великобритания,Коптерный тип,3,,7,250,Вертикальный,Вертикальный,Электрический,,50,В производстве,,,,,,
1388,Великобритания,Самолетный тип,20,0.75,50,6100,Пусковая установка,На фюзеляж,ДВС,2.2,200,В производстве,Meggit Defence Systems,,,,,
1389,Великобритания,Самолетный тип,,,50,2100,Пусковая установка,На фюзеляж,Электрический,,100,В разработке,Neva Aerospace,,,,,
1390,Великобритания,Самолетный тип,3060,,1120,7700,Шасси,Шасси,ДВС,11.89,386,Снято с производства,Miles,,,,,
1391,Великобритания,Самолетный тип,40,,75,5000,Пусковая установка,На фюзеляж,ДВС,2.8,180,В производстве,Universal Target Systems Limited,,,,,
1392,Великобритания,Коптерный тип,,0.83,2.5,350,Вертикальный,Вертикальный,Электрический,,45,В производстве,Neva Aerospace,,,,,
1393,Великобритания,Самолетный тип,4500,,1500,10000,Пусковая установка,Парашютная система,Газотурбинный,,850,В разработке,,,,,,
1394,Великобритания,Самолетный тип,16,5,200,4100,Пусковая установка,На фюзеляж,ДВС,2.4,120,В производстве,Warrior,,,,,
1395,Великобритания,Коптерный тип,40,,3.5,1000,Вертикальный,Вертикальный,Электрический,,50,В производстве,Vulcan UAV,,,,,
1396,Великобритания,Самолетный тип,20,2,20,3600,Пусковая установка,На фюзеляж,Электрический,,90,В производстве,Universal Target Systems Limited,,,,,
1397,Великобритания,Самолетный тип,14,0.5,42,4100,Пусковая установка,На фюзеляж,ДВС,2.21,180,В производстве,Universal Target Systems Limited,,,,,
1398,Великобритания,Коптерный тип,3.5,2,60,2100,Вертикальный,Вертикальный,Электрический,,150,В разработке,VTOL Technologies,,,,,
1399,Великобритания,Самолетный тип,70,,150,4500,Шасси,Шасси,ДВС,3,120,В производстве,UnKnown Aerospace,,,,,
1400,США,Самолетный тип,1200,,2800,15000,Шасси,Шасси,Газотурбинный,6.7,920,В производстве,Kratos Defense and Security Solutions,,,,,
1401,США,Коптерный тип,0.25,,0.1,60,Вертикальный,Вертикальный,Электрический,,25,,Odyssey Toys,,,,,
1402,США,Самолетный тип,160,10,250,4600,Шасси,Шасси,ДВС,6.1,160,В производстве,L-3 Unmanned Systems,,,,,
1403,США,Самолетный тип,144,,200,4600,Шасси,Шасси,ДВС,5.34,125,В производстве,L-3 Unmanned Systems,,,,,
1404,США,Самолетный тип,2.8,0.67,5,1000,С руки,На фюзеляж,Электрический,,60,В производстве,Vera Tech,,,,,
1405,США,Вертолетный тип,10,0.75,15,2100,Вертикальный,Вертикальный,Электрический,,75,В производстве,Juniper Unmanned,,,,1.1,
1406,США,Самолетный тип,14.6,,200,4600,"Пусковая установка, Шасси",Шасси,ДВС,,120,В производстве,Vanilla Aircraft,,,,,
1407,США,Вертолетный тип,26,,24,2100,Вертикальный,Вертикальный,ДВС,,90,В производстве,Vanguard Defense Industries,,,,1.94,
1408,США,Самолетный тип,,10,250,7100,Шасси,Шасси,Электрический,13.1,120,В производстве,Luminati Aerospace,,,,,
1409,США,Самолетный тип,,2.5,2100,17000,Пусковая установка,Парашютная система,Газотурбинный,3.2,950,В производстве,Kratos Defense and Security Solutions,250,,,,
1410,США,Самолетный тип,8.5,3.5,75,3500,С руки,На фюзеляж,Электрический,3.05,85,В производстве,UASUSA,,,,,
1411,США,Самолетный тип,0.957,,10,3600,С руки,На фюзеляж,Электрический,0.86,65,В производстве,Irvine Sensor Corp,,,,,
1412,США,Самолетный тип,5.2,,50,4100,С руки,На фюзеляж,Электрический,2.3,100,Снято с производства,UASUSA,,,,,
1413,США,Самолетный тип,485,,925,3900,Шасси,Шасси,ДВС,,378,В производстве,Trek Aerospace,,,,,
1414,США,Самолетный тип,144,10,150,4100,Шасси,Шасси,ДВС,5.33,120,В производстве,L-3 Unmanned Systems,,,,,
1415,США,Самолетный тип,3,0.5,15,3100,"Пусковая установка, С руки",На фюзеляж,Электрический,0.48,80,В производстве,Textron Defense Systems,,,,,
1416,США,Самолетный тип,159,,100,15000,Пусковая установка,Парашютная система,Газотурбинный,1.5,980,Снято с производства,Temco Aircraft,,,,,
1417,США,Самолетный тип,1130,,2250,16100,Пусковая установка,Парашютная система,Газотурбинный,3.35,970,Снято с производства,Teledyne Ryan,,,,,
1418,США,Самолетный тип,1200,48,600,5100,Шасси,Шасси,ДВС,9.45,180,Снято с производства,Teledyne Ryan,,,,,
1419,США,Самолетный тип,1785,1.5,600,4100,Шасси,Шасси,ДВС,11,400,Снято с производства,Taylorcraft,,,,,
1420,США,Коптерный тип,0.75,,0.5,20,Вертикальный,Вертикальный,Электрический,,18,В производстве,Sunflower Labs,,,,,
1421,США,Самолетный тип,2,,55,150,С руки,На фюзеляж,Электрический,1.14,120,В производстве,AeroMech Engineering Inc,,,,,
1422,США,Самолетный тип,15.8,10,100,4100,Пусковая установка,На фюзеляж,ДВС,2.6,100,В производстве,MLB Co,,,,,
1423,США,Самолетный тип,1815,30,185,7320,Шасси,Шасси,ДВС,,324,Снято с производства,Proxy Aviation Systems Inc,,,,,
1424,США,Коптерный тип,12,4.5,250,1000,Вертикальный,Вертикальный,ДВС,,56,В производстве,Skyfront,,,,,
1425,США,Вертолетный тип,11.5,0.5,25,2100,Вертикальный,Вертикальный,Электрический,,70,Снято с производства,Guided Systems Technologies,,,,,
1426,США,Вертолетный тип,38.5,2.5,50,3000,Вертикальный,Вертикальный,ДВС,,120,В производстве,Guided Systems Technologies,,,,,
1427,США,Вертолетный тип,277,,250,2000,Вертикальный,Вертикальный,ДВС,,140,В производстве,Guided Systems Technologies,,,,,
1428,США,Самолетный тип,1.2,1,20,1200,С руки,На фюзеляж,Электрический,,100,В производстве,Sentera,,,,,
1429,США,Коптерный тип,2.8,0.67,2,250,Вертикальный,Вертикальный,Электрический,,36,В производстве,Sentera,,,,,
1430,США,Самолетный тип,30,1.5,70,5000,Пусковая установка,Парашютная система,Электрический,1.98,150,В производстве,Advanced Intelligent Reconnaissance Systems,,,,,
1431,США,Самолетный тип,16,2,150,4600,Шасси,Шасси,ДВС,4.5,185,В производстве,"Northrop Grumman, UAVs System Inc",,,,,
1432,США,Самолетный тип,82,0.5,120,9100,Пусковая установка,Парашютная система,Газотурбинный,0.72,740,В производстве,Meggitt Defence Systems,,,,,
1433,США,Самолетный тип,91,,150,7620,Пусковая установка,Парашютная система,Газотурбинный,1.5,740,В производстве,AeroMech Engineering Inc,,,,,
1434,США,Самолетный тип,645,,500,4100,Шасси,Шасси,Газотурбинный,,250,Снято с производства,Boeing,,,,,
1435,США,Самолетный тип,4000,,2000,11000,Шасси,Шасси,Газотурбинный,12,950,В разработке,Boeing,,,,,
1436,США,Самолетный тип,,,800,3600,Шасси,Шасси,Газотурбинный,,520,В разработке,Karem Aircraft Inc,,,,,
1437,США,Самолетный тип,550,,520,4500,Шасси,Шасси,ДВС,10,185,В производстве,Sonex Aircraft,,,,,
1438,США,Самолетный тип,815,0.42,150,5200,Пусковая установка,Парашютная система,Газотурбинный,4.38,555,Снято с производства,Radioplane,,,,,
1439,США,Самолетный тип,475,1,160,14300,Пусковая установка,Парашютная система,Газотурбинный,4.66,685,Снято с производства,Radioplane,,,,,
1440,США,Самолетный тип,185,,330,7000,Пусковая установка,Парашютная система,ДВС,3.5,325,Снято с производства,"Northrop Grumman, Radioplane",,,,,
1441,США,Самолетный тип,15,,200,4100,Шасси,Шасси,ДВС,2.93,120,,Quaternion Aerospace,,,,,
1442,США,Самолетный тип,12,11,200,4600,Пусковая установка,На фюзеляж,ДВС,3.2,140,Снято с производства,Quaternion Aerospace,,,,,
1443,США,Самолетный тип,22,15,150,5100,Пусковая установка,Парашютная система,ДВС,3.12,145,Снято с производства,Insitu Inc.,,,,,
1444,США,Самолетный тип,180,,126,10500,Пусковая установка,Парашютная система,Газотурбинный,1.55,790,Снято с производства,Brunswick Corporation,,,,,
1445,США,Коптерный тип,9,,120,600,Вертикальный,Вертикальный,Электрический,,60,Снято с производства,Reference Technologies,,,,,
1446,США,Вертолетный тип,5,,5,150,Вертикальный,Вертикальный,Электрический,,80,В производстве,Adaptive Flight,,,,,
1447,США,Вертолетный тип,4.2,,3,150,Вертикальный,Вертикальный,Электрический,,70,В производстве,Adaptive Flight,,,,0.71,
1448,США,Вертолетный тип,8.1,,6,150,Вертикальный,Вертикальный,Электрический,,90,,Adaptive Flight,,,,1.76,
1449,США,Самолетный тип,136,,100,4500,Шасси,Шасси,Электрический,3.1,180,В производстве,Griffon Aerospace,,,,,
1450,США,Самолетный тип,,,70,5100,Пусковая установка,Парашютная система,ДВС,3.1,250,В производстве,Griffon Aerospace,,,,,
1451,США,Самолетный тип,,,50,5000,Шасси,Шасси,ДВС,3.5,200,В производстве,Griffon Aerospace,,,,,
1452,США,Коптерный тип,1,,3,3000,Вертикальный,Вертикальный,Электрический,,54,В производстве,GoPro,,,,,
1453,США,Самолетный тип,25,,40,2100,Пусковая установка,Парашютная система,Электрический,,150,В производстве,Google,,,,,
1454,США,Самолетный тип,,,40,1200,Пусковая установка,Парашютная система,Электрический,,100,В разработке,Google,,,,,
1455,США,Самолетный тип,170,,25,4100,Пусковая установка,Парашютная система,ДВС,3.1,250,Снято с производства,Globe Aircraft Corporation,,,,,
1456,США,Самолетный тип,50,,250,12000,Пусковая установка,Парашютная система,Газотурбинный,1.5,1500,Снято с производства,Колорадский университет,,,,,
1457,США,Коптерный тип,2,,20,2100,Вертикальный,Вертикальный,Электрический,,50,В производстве,Matternet,,,,,
1458,США,Самолетный тип,405,,1140,30430,Пусковая установка,Парашютная система,ДВС,1.16,27000,Снято с производства,Martin Marietta,,,,,
1459,США,Самолетный тип,145,0.67,50,4100,Пусковая установка,Парашютная система,Газотурбинный,3.7,400,Снято с производства,McDonnell Aircraft,,,,,
1460,США,Коптерный тип,,0.5,10,150,Вертикальный,Вертикальный,Электрический,,75,В разработке,Malloy Aeronautics,,,,,
1461,США,Самолетный тип,2405,24,250,15240,Шасси,Шасси,Газотурбинный,17.37,200,Снято с производства,Ling-Temco-Vought,,,,,
1462,США,Самолетный тип,1360,24,250,4600,Пусковая установка,Парашютная система,ДВС,8.14,140,В производстве,L-3 Unmanned Systems,,,,,
1463,США,Самолетный тип,2.5,0.83,20,300,С руки,На фюзеляж,Электрический,0.86,100,В производстве,Robota,,,,,
1464,США,Самолетный тип,,,2400,30000,С руки,На фюзеляж,Электрический,,120,В разработке,Национальное аэрокосмическое агентство,,,,,
1465,США,Самолетный тип,15100,,3500,12000,Шасси,Шасси,Газотурбинный,40,600,Снято с производства,Оборонное агентство перспективных исследований,,,,,
1466,США,Самолетный тип,,9,500,4100,Вертикальный,Вертикальный,Электрический,,130,В разработке,Latitude Engineering,,,,,
1467,США,Самолетный тип,3600,,210,30000,Пусковая установка,Парашютная система,Газотурбинный,,4600,Снято с производства,Lockheed,,,,,
1468,США,Самолетный тип,3.5,1,25,4500,С руки,На фюзеляж,Электрический,1.32,120,В производстве,Lockheed,,,,,
1469,США,Самолетный тип,4,,15,3400,С руки,На фюзеляж,Газотурбинный,1.2,92,В производстве,Lockheed,,,,,
1470,США,Самолетный тип,4100,4,1500,20000,Шасси,Шасси,Газотурбинный,,750,В производстве,Lockheed,,,,,
1471,США,Самолетный тип,,,2100,15000,Шасси,Шасси,Газотурбинный,25,810,В разработке,Lockheed,,,,,
1472,США,Самолетный тип,,,20000,32000,Шасси,Шасси,ДВС,18,6500,В разработке,Lockheed,,,,,
1473,США,Самолетный тип,8,3,50,4600,С руки,На фюзеляж,Электрический,3,80,В производстве,Lockheed,,,,,
1474,США,Самолетный тип,70,,70,4100,Шасси,Шасси,Газотурбинный,8.4,220,В производстве,Lockheed,,,,,
1475,США,Самолетный тип,150,3,100,4500,Пусковая установка,Парашютная система,ДВС,3.89,210,Снято с производства,Lockheed,,,,,
1476,США,Самолетный тип,3600,,500,32320,Пусковая установка,Парашютная система,Газотурбинный,3.66,4600,Снято с производства,Lockheed,,,,,
1477,США,Самолетный тип,120,8,400,5000,Пусковая установка,Парашютная система,ДВС,6.1,140,Снято с производства,BAE Systems,,,,,
1478,США,Коптерный тип,4.5,0.33,2,200,Вертикальный,Вертикальный,Электрический,,60,В производстве,Roboteam,,,,,
1479,США,Вертолетный тип,,1,40,350,Вертикальный,Вертикальный,Электрический,,120,В разработке,Jetpack Aviation,,,,,
1480,США,Самолетный тип,270,,25,2100,Пусковая установка,Парашютная система,Электрический,,322,В производстве,Национальное аэрокосмическое агентство,,,,,
1481,США,Коптерный тип,,0.67,2,200,Вертикальный,Вертикальный,Электрический,,60,В производстве,Intel,,,,,
1482,США,Коптерный тип,,,65,5000,Вертикальный,Вертикальный,Электрический,,120,В производстве,Krossblade Aerospace Systems,,,,,
1483,США,Коптерный тип,1.3,1,5,3000,Вертикальный,Вертикальный,Электрический,,50,В производстве,Lily,,,,,
1484,США,Самолетный тип,19.2,,200,3000,Вертикальный,Вертикальный,ДВС,3,185,Снято с производства,Aerovel,,,,,
1485,США,Самолетный тип,,,750,4100,Вертикальный,Вертикальный,Газотурбинный,,670,В разработке,Sikorsky Aircraft,,,,,
1486,США,Самолетный тип,205,,966,3700,Шасси,Шасси,ДВС,6.1,148,Снято с производства,ВМС,,,,,
1487,США,Самолетный тип,1200,,350,9400,Шасси,Шасси,Газотурбинный,3.4,850,Снято с производства,"Lockheed, Skunk Works",,,,,
1488,США,Самолетный тип,35,,100,5000,Пусковая установка,Парашютная система,ДВС,2.1,200,В производстве,Специалисты в области военных разработок,,,,,
1489,США,Коптерный тип,0.2,0.5,2.5,150,Вертикальный,Вертикальный,Электрический,,25,В производстве,BCB International,,,,,
1490,США,Самолетный тип,1020,,650,7100,Шасси,Шасси,ДВС,14.8,210,В производстве,General Atomics Aeronautical Systems,,,,,
1491,США,Самолетный тип,,15,150,6100,Пусковая установка,Парашютная система,ДВС,,85,В производстве,Raytheon,,,,,
1492,США,Коптерный тип,0.1,0.75,5,1000,Вертикальный,Вертикальный,Электрический,0.3,20,Снято с производства,RoboSeed,,,,,
1493,США,Самолетный тип,1830,,1200,12000,Шасси,Шасси,Газотурбинный,4.75,1960,Снято с производства,Rockwell,,,,,
1494,США,Самолетный тип,,,100,3600,Шасси,Шасси,Электрический,,100,В разработке,Drone America,,,,,
1495,США,Самолетный тип,1750,30,1200,12100,Шасси,Шасси,ДВС,17,277,Снято с производства,General Atomics Aeronautical Systems Inc,,,,,
1496,США,Самолетный тип,3130,,200,4100,Шасси,Шасси,ДВС,10,220,Снято с производства,Piper Aircraft,,,,,
1497,США,Самолетный тип,3240,,200,4500,Шасси,Шасси,ДВС,9.91,230,Снято с производства,Pratt-Read,,,,,
1498,США,Самолетный тип,78,10,35,1200,Шасси,Шасси,Электрический,6.1,120,В производстве,UAV Solutions,,,,,
1499,США,Самолетный тип,9,2.5,15,200,С руки,На фюзеляж,Электрический,3.66,100,В производстве,UAV Solutions,,,,,
1500,США,Коптерный тип,18,,5,2500,Вертикальный,Вертикальный,Электрический,,50,В производстве,UAV Solutions,,,,,
1501,США,Коптерный тип,2.9,1.5,15,300,Вертикальный,Вертикальный,Электрический,,60,В производстве,UAV Solutions,,,,,
1502,США,Коптерный тип,3.4,0.83,15,3000,Вертикальный,Вертикальный,Электрический,,65,В производстве,TaiLinx,,,,,
1503,США,Коптерный тип,6,0.75,4,1000,Вертикальный,Вертикальный,Электрический,,45,В производстве,UAV Solutions,,,,,
1504,США,Самолетный тип,0.29,0.33,15,2100,С руки,На фюзеляж,Электрический,0.3,110,,Массачусетский технологический институт,,,,,
1505,США,Самолетный тип,120,,250,4100,Пусковая установка,На фюзеляж,ДВС,4,180,Снято с производства,Oregon Iron Works,,,,,
1506,США,Коптерный тип,4.2,,40,2100,Вертикальный,Вертикальный,Электрический,,70,В производстве,Olaeris,,,,,
1507,США,Самолетный тип,2.7,0.75,10,3100,С руки,На фюзеляж,Электрический,1.98,60,В производстве,Octatron,,,,,
1508,Иордания,Самолетный тип,60,6,150,4100,Пусковая установка,На фюзеляж,ДВС,2.4,120,В производстве,Jordan Advanced Remote Systems,,,,,
1509,Индия,Самолетный тип,4650,,1000,4200,Шасси,Шасси,ДВС,15,500,В разработке,DARPA,,,,,
1510,Нидерланды,Вертолетный тип,50,4,60,4100,Вертикальный,Вертикальный,Газотурбинный,,140,В производстве,Geocopter,,,,2.6,
1511,Нидерланды,Вертолетный тип,21,3.5,50,3100,Вертикальный,Вертикальный,ДВС,,140,В производстве,High Eye,,,,1.7,
1512,Новая Зеландия,Коптерный тип,10,0.5,2.5,2100,Вертикальный,Вертикальный,Электрический,,35,В производстве,X-Craft Enterprises,,,,,
1513,Новая Зеландия,Самолетный тип,20,3,100,5000,Пусковая установка,На фюзеляж,ДВС,1.4,180,В производстве,X-Craft Enterprises,,,,,
1514,Новая Зеландия,Самолетный тип,12,,20,4100,"Пусковая установка, С руки",На фюзеляж,Электрический,1.8,95,В производстве,AUT University,,,,,
1515,Новая Зеландия,Самолетный тип,20,,120,5000,"Пусковая установка, С руки",На фюзеляж,ДВС,1.6,150,В производстве,X-Craft Enterprises,,,,,
1516,Швейцария,Самолетный тип,285,,180,6000,Пусковая установка,Парашютная система,ДВС,5.71,240,В производстве,RUAG Aviation,,,,,
1517,Сингапур,Самолетный тип,6,1,20,2100,С руки,На фюзеляж,Электрический,0.65,75,В производстве,Cradance Service,,,,,
1518,Сингапур,Самолетный тип,7,10,500,3100,С руки,На фюзеляж,ДВС,1.96,70,В производстве,H3 Dynamics,,,,,
1519,Сингапур,Самолетный тип,4,2,8,500,С руки,На фюзеляж,Электрический,1.8,130,В производстве,ST Aero,,,,,
1520,Сингапур,Самолетный тип,25,0.42,20,3100,Пусковая установка,На фюзеляж,Электрический,,80,В производстве,ST Engineering,,,,,
1521,Сингапур,Самолетный тип,3,0.5,5,1500,Вертикальный,Вертикальный,ДВС,,110,В производстве,ST Aero,,,,,
1522,Турция,Самолетный тип,550,20,200,6500,Шасси,Шасси,ДВС,10.5,150,В производстве,Vestel,,,,,
1523,Тунис,Вертолетный тип,950,,250,4100,Вертикальный,Вертикальный,Газотурбинный,,240,Снято с производства,Tunisia Aero Technology,,,,8,
1524,Тунис,Самолетный тип,1250,60,500,10000,Шасси,Шасси,Газотурбинный,17.5,350,В разработке,Tunisia Aero Technology,,,,,
1525,Тунис,Самолетный тип,200,12,1680,4600,Шасси,Шасси,ДВС,8,170,В производстве,Tunisia Aero Technologies Industries,,,,,
1526,Тайвань,Самолетный тип,10,,50,4000,Шасси,Шасси,Газотурбинный,3,270,В производстве,Тайваньский национальный университет,,,,,
1527,Тайвань,Самолетный тип,4.9,1.5,10,3000,Пусковая установка,Парашютная система,Электрический,1.9,90,В производстве,UAVER,,,,,
1528,Тайвань,Самолетный тип,12,2,35,3100,Шасси,Шасси,ДВС,2.7,80,В производстве,RMRL,,,,,
1529,Тайвань,Самолетный тип,2.3,0.67,10,3000,С руки,На фюзеляж,Электрический,1.5,63,В производстве,UAVER,,,,,
